"age","sex","category","population"
66,"Miehet","v2010",44
66,"Miehet","v2024",52
67,"Miehet","v1990",18
67,"Miehet","v2010",45
67,"Miehet","v2024",51
68,"Miehet","v1990",14
68,"Miehet","v2010",35
68,"Miehet","v2024",56
69,"Miehet","v1990",11
69,"Miehet","v2010",48
69,"Miehet","v2024",47
70,"Miehet","v1990",14
70,"Miehet","v2010",29
70,"Miehet","v2024",54
71,"Miehet","v1990",11
71,"Miehet","v2010",33
71,"Miehet","v2024",38
72,"Miehet","v1990",8
72,"Miehet","v2010",41
72,"Miehet","v2024",47
73,"Miehet","v1990",10
73,"Miehet","v2010",24
73,"Miehet","v2024",48
74,"Miehet","v1990",9
74,"Miehet","v2010",29
74,"Miehet","v2024",49
75,"Miehet","v1990",17
75,"Miehet","v2010",22
75,"Miehet","v2024",49
76,"Miehet","v1990",8
76,"Miehet","v2010",22
76,"Miehet","v2024",52
77,"Miehet","v1990",6
77,"Miehet","v2010",20
77,"Miehet","v2024",44
78,"Miehet","v1990",8
78,"Miehet","v2010",20
78,"Miehet","v2024",60
79,"Miehet","v1990",15
79,"Miehet","v2010",13
79,"Miehet","v2024",28
80,"Miehet","v1990",8
80,"Miehet","v2010",17
80,"Miehet","v2024",23
81,"Miehet","v1990",8
81,"Miehet","v2010",15
81,"Miehet","v2024",27
82,"Miehet","v1990",5
82,"Miehet","v2010",7
82,"Miehet","v2024",21
83,"Miehet","v1990",9
83,"Miehet","v2010",10
83,"Miehet","v2024",23
84,"Miehet","v1990",8
84,"Miehet","v2010",8
84,"Miehet","v2024",13
85,"Miehet","v1990",4
85,"Miehet","v2010",11
85,"Miehet","v2024",14
86,"Miehet","v1990",1
86,"Miehet","v2010",2
86,"Miehet","v2024",15
87,"Miehet","v1990",3
87,"Miehet","v2010",3
87,"Miehet","v2024",13
88,"Miehet","v1990",1
88,"Miehet","v2010",0
88,"Miehet","v2024",11
89,"Miehet","v1990",3
89,"Miehet","v2010",2
89,"Miehet","v2024",13
90,"Miehet","v1990",2
90,"Miehet","v2010",4
90,"Miehet","v2024",4
91,"Miehet","v1990",3
91,"Miehet","v2010",1
91,"Miehet","v2024",3
92,"Miehet","v1990",3
92,"Miehet","v2010",0
92,"Miehet","v2024",4
93,"Miehet","v1990",0
93,"Miehet","v2010",0
93,"Miehet","v2024",3
94,"Miehet","v1990",1
94,"Miehet","v2010",2
94,"Miehet","v2024",2
95,"Miehet","v1990",0
95,"Miehet","v2010",0
95,"Miehet","v2024",2
96,"Miehet","v1990",0
96,"Miehet","v2010",0
96,"Miehet","v2024",0
97,"Miehet","v1990",0
97,"Miehet","v2010",0
97,"Miehet","v2024",1
98,"Miehet","v1990",0
98,"Miehet","v2010",0
98,"Miehet","v2024",0
99,"Miehet","v1990",0
99,"Miehet","v2010",1
99,"Miehet","v2024",0
100,"Miehet","v1990",0
100,"Miehet","v2010",0
100,"Miehet","v2024",0
0,"Naiset","v1990",42
0,"Naiset","v2010",72
0,"Naiset","v2024",43
1,"Naiset","v1990",47
1,"Naiset","v2010",58
1,"Naiset","v2024",38
2,"Naiset","v1990",52
2,"Naiset","v2010",58
2,"Naiset","v2024",50
3,"Naiset","v1990",50
3,"Naiset","v2010",71
3,"Naiset","v2024",57
4,"Naiset","v1990",46
4,"Naiset","v2010",76
4,"Naiset","v2024",45
5,"Naiset","v1990",45
5,"Naiset","v2010",81
5,"Naiset","v2024",53
6,"Naiset","v1990",49
6,"Naiset","v2010",60
6,"Naiset","v2024",61
7,"Naiset","v1990",54
7,"Naiset","v2010",66
7,"Naiset","v2024",50
8,"Naiset","v1990",53
8,"Naiset","v2010",62
8,"Naiset","v2024",60
9,"Naiset","v1990",44
9,"Naiset","v2010",69
9,"Naiset","v2024",75
10,"Naiset","v1990",60
10,"Naiset","v2010",65
10,"Naiset","v2024",76
11,"Naiset","v1990",46
11,"Naiset","v2010",75
11,"Naiset","v2024",49
12,"Naiset","v1990",52
12,"Naiset","v2010",65
12,"Naiset","v2024",61
13,"Naiset","v1990",59
13,"Naiset","v2010",86
13,"Naiset","v2024",64
14,"Naiset","v1990",50
14,"Naiset","v2010",59
14,"Naiset","v2024",73
15,"Naiset","v1990",55
15,"Naiset","v2010",75
15,"Naiset","v2024",60
16,"Naiset","v1990",48
16,"Naiset","v2010",80
16,"Naiset","v2024",58
17,"Naiset","v1990",48
17,"Naiset","v2010",54
17,"Naiset","v2024",70
18,"Naiset","v1990",29
18,"Naiset","v2010",59
18,"Naiset","v2024",52
19,"Naiset","v1990",42
19,"Naiset","v2010",45
19,"Naiset","v2024",54
20,"Naiset","v1990",41
20,"Naiset","v2010",24
20,"Naiset","v2024",17
21,"Naiset","v1990",23
21,"Naiset","v2010",27
21,"Naiset","v2024",14
22,"Naiset","v1990",41
22,"Naiset","v2010",25
22,"Naiset","v2024",10
23,"Naiset","v1990",30
23,"Naiset","v2010",35
23,"Naiset","v2024",14
24,"Naiset","v1990",38
24,"Naiset","v2010",33
24,"Naiset","v2024",9
25,"Naiset","v1990",44
25,"Naiset","v2010",35
25,"Naiset","v2024",36
26,"Naiset","v1990",48
26,"Naiset","v2010",38
26,"Naiset","v2024",24
27,"Naiset","v1990",39
27,"Naiset","v2010",37
27,"Naiset","v2024",25
28,"Naiset","v1990",49
28,"Naiset","v2010",41
28,"Naiset","v2024",42
29,"Naiset","v1990",46
29,"Naiset","v2010",55
29,"Naiset","v2024",54
30,"Naiset","v1990",40
30,"Naiset","v2010",55
30,"Naiset","v2024",51
31,"Naiset","v1990",57
31,"Naiset","v2010",49
31,"Naiset","v2024",56
32,"Naiset","v1990",58
32,"Naiset","v2010",63
32,"Naiset","v2024",61
33,"Naiset","v1990",60
33,"Naiset","v2010",72
33,"Naiset","v2024",74
34,"Naiset","v1990",54
34,"Naiset","v2010",79
34,"Naiset","v2024",61
35,"Naiset","v1990",59
35,"Naiset","v2010",96
35,"Naiset","v2024",54
36,"Naiset","v1990",56
36,"Naiset","v2010",76
36,"Naiset","v2024",87
37,"Naiset","v1990",64
37,"Naiset","v2010",68
37,"Naiset","v2024",58
38,"Naiset","v1990",69
38,"Naiset","v2010",70
38,"Naiset","v2024",65
39,"Naiset","v1990",61
39,"Naiset","v2010",61
39,"Naiset","v2024",62
40,"Naiset","v1990",62
40,"Naiset","v2010",73
40,"Naiset","v2024",72
41,"Naiset","v1990",66
41,"Naiset","v2010",67
41,"Naiset","v2024",67
42,"Naiset","v1990",72
42,"Naiset","v2010",81
42,"Naiset","v2024",65
43,"Naiset","v1990",57
43,"Naiset","v2010",75
43,"Naiset","v2024",72
44,"Naiset","v1990",81
44,"Naiset","v2010",83
44,"Naiset","v2024",67
45,"Naiset","v1990",60
45,"Naiset","v2010",102
45,"Naiset","v2024",66
46,"Naiset","v1990",51
46,"Naiset","v2010",76
46,"Naiset","v2024",72
47,"Naiset","v1990",45
47,"Naiset","v2010",79
47,"Naiset","v2024",72
48,"Naiset","v1990",36
48,"Naiset","v2010",75
48,"Naiset","v2024",77
49,"Naiset","v1990",56
49,"Naiset","v2010",57
49,"Naiset","v2024",82
50,"Naiset","v1990",37
50,"Naiset","v2010",71
50,"Naiset","v2024",75
51,"Naiset","v1990",38
51,"Naiset","v2010",62
51,"Naiset","v2024",61
52,"Naiset","v1990",41
52,"Naiset","v2010",57
52,"Naiset","v2024",66
53,"Naiset","v1990",45
53,"Naiset","v2010",69
53,"Naiset","v2024",65
54,"Naiset","v1990",34
54,"Naiset","v2010",52
54,"Naiset","v2024",68
55,"Naiset","v1990",30
55,"Naiset","v2010",64
55,"Naiset","v2024",68
56,"Naiset","v1990",27
56,"Naiset","v2010",51
56,"Naiset","v2024",76
57,"Naiset","v1990",31
57,"Naiset","v2010",68
57,"Naiset","v2024",59
58,"Naiset","v1990",22
58,"Naiset","v2010",68
58,"Naiset","v2024",76
59,"Naiset","v1990",34
59,"Naiset","v2010",59
59,"Naiset","v2024",80
